,movie,name,point
627,주먹왕 랄프 2: 인터넷 속으로,okju****,8
628,아마데우스,pool****,9
629,스윙키즈,tjd3****,10
630,말모이,wjsw****,6
631,스윙키즈,thfu****,10
632,국가부도의 날,etj5****,8
633,글래스,x6s6****,3
634,히든 피겨스,pool****,6
635,말모이,dbsf****,10
636,아이 캔 스피크,pool****,8
637,글래스,dady****,7
638,말모이,2eoe****,8
639,위대한 개츠비,biga****,10
640,스파이더맨: 뉴 유니버스,etj5****,10
641,그대 이름은 장미,wjdd****,6
642,내안의 그놈,lees****,2
643,그대 이름은 장미,koyo****,10
644,스윙키즈,cnd0****,1
645,마약왕,xkzm****,4
646,주먹왕 랄프 2: 인터넷 속으로,skyt****,10
647,말모이,exe5****,1
648,주먹왕 랄프 2: 인터넷 속으로,kds1****,10
649,글래스,hjs8****,10
650,센스 앤 센서빌리티,ljal****,10
651,스윙키즈,dahy****,8
652,보헤미안 랩소디,star****,10
653,PMC: 더 벙커,blac****,8
654,글래스,alla****,7
655,레토,mono****,1
656,내안의 그놈,pzpz****,10
657,타인의 삶,ysm7****,10
658,스윙키즈,sjhy****,10
659,스윙키즈,435l****,2
660,말모이,0526****,10
661,말모이,dltp****,10
662,글래스,lees****,10
663,컨택트,heas****,10
664,스윙키즈,wogm****,10
665,미래의 미라이,perf****,9
666,글래스,amdi****,10
667,오페라의 유령,vasc****,10
668,튼튼이의 모험,game****,10
669,글래스,hoju****,5
670,보헤미안 랩소디,jjde****,4
671,미래의 미라이,tkdd****,2
672,글래스,zoro****,8
673,말모이,macd****,8
674,내안의 그놈,wlsg****,10
675,내안의 그놈,jhs7****,10
676,내안의 그놈,from****,6
677,미래의 미라이,youn****,8
678,스윙키즈,100w****,10
679,튼튼이의 모험,coco****,10
680,보헤미안 랩소디,wlsr****,10
681,글래스,forc****,10
682,공공의 적 2,gus0****,4
683,서울역,wnst****,1
684,점박이 한반도의 공룡2 : 새로운 낙원,htki****,10
685,아쿠아맨,dbsl****,10
686,글래스,wm2o****,10
687,스윙키즈,tjsw****,10
688,글래스,wagb****,10
689,글래스,hhum****,9
690,글래스,mses****,10
691,글래스,ilec****,10
692,튼튼이의 모험,0bli****,8
693,스윙키즈,foxs****,10
694,말모이,yunj****,10
695,글래스,govl****,10
696,공공의 적,gus0****,10
697,글래스,grav****,10
698,글래스,bona****,10
699,튼튼이의 모험,jjh5****,10
700,그린 북,rlag****,10
701,내안의 그놈,1234****,10
702,튼튼이의 모험,jjme****,8
